Timestamp;UCT - DSchool - Basics - PV yield counter [kWh] - E_Z_EVU;UCT - DSchool - Basics - Irradiance on module plane [W/m²] - G_M0;UCT - DSchool - Basics - UCT - DSchool Load Power [W] - P_LOAD;UCT - DSchool - Basics - UCT - DSchool Solar [W] - P_SOLAR;UCT - DSchool - Basics - UCT - DSchool Incomer Power [W] - P_INCOMER;UCT - DSchool - Calculations - total area [m²] - AREA;UCT - DSchool - Calculations -  [] - E_MEAN_DEV;UCT - DSchool - Calculations -  [] - E_MESS;UCT - DSchool - Calculations - Specific yield [kWh/kWp] - E_N;UCT - DSchool - Calculations - Energy / Meters [kWh] - E_ZAEHLER;UCT - DSchool - Calculations -  [] - EPI;UCT - DSchool - Calculations - Installed Power  [kWp] - POWER;UCT - DSchool - Calculations - Performance ratio [%] - PR;UCT - DSchool - Calculations -  [] - SOLIDX;UCT - DSchool - Calculations - System availability [%] - VFG;UCT - DSchool - Simulation - Expected power [kW]
2023-09-01 00:00:00;;;;;;284.280;;94.113;1.584;94.113;;59.400;50.482;;84.444;
2023-09-01 00:05:00;;;;;;;;;;;;;;;;
2023-09-01 00:10:00;0.000;0.000;56525.400;0.000;56525.400;;;;;;;;;;;0.000
2023-09-01 00:15:00;0.000;0.000;64881.916;0.000;64881.916;;;;;;;;;;;0.000
2023-09-01 00:20:00;0.000;0.000;68078.382;0.000;68078.382;;;;;;;;;;;0.000
2023-09-01 00:25:00;0.000;0.000;63539.440;0.000;63539.440;;;;;;;;;;;0.000
2023-09-01 00:30:00;0.000;0.000;50072.234;0.000;50072.234;;;;;;;;;;;0.000
2023-09-01 00:35:00;0.000;0.000;52800.348;0.000;52800.348;;;;;;;;;;;0.000
2023-09-01 00:40:00;0.000;0.000;44219.462;0.000;44219.462;;;;;;;;;;;0.000
2023-09-01 00:45:00;0.000;0.000;52233.820;0.000;52233.820;;;;;;;;;;;0.000
2023-09-01 00:50:00;0.000;0.000;48180.018;0.000;48180.018;;;;;;;;;;;0.000
2023-09-01 00:55:00;0.000;0.000;49444.598;0.000;49444.598;;;;;;;;;;;0.000
2023-09-01 01:00:00;0.000;0.000;43182.238;0.000;43182.238;;;;;;;;;;;0.000
2023-09-01 01:05:00;0.000;0.000;64778.298;0.000;64778.298;;;;;;;;;;;0.000
2023-09-01 01:10:00;0.000;0.000;74165.664;0.000;74165.664;;;;;;;;;;;0.000
2023-09-01 01:15:00;0.000;0.000;75312.484;0.000;75312.484;;;;;;;;;;;0.000
2023-09-01 01:20:00;0.000;0.000;82556.376;0.000;82556.376;;;;;;;;;;;0.000
2023-09-01 01:25:00;0.000;0.000;65864.192;0.000;65864.192;;;;;;;;;;;0.000
2023-09-01 01:30:00;0.000;0.000;67924.838;0.000;67924.838;;;;;;;;;;;0.000
2023-09-01 01:35:00;0.000;0.000;66971.312;0.000;66971.312;;;;;;;;;;;0.000
2023-09-01 01:40:00;0.000;0.000;59563.018;0.000;59563.018;;;;;;;;;;;0.000
2023-09-01 01:45:00;0.000;0.000;59949.402;0.000;59949.402;;;;;;;;;;;0.000
2023-09-01 01:50:00;0.000;0.000;53317.202;0.000;53317.202;;;;;;;;;;;0.000
2023-09-01 01:55:00;0.000;0.000;61293.330;0.000;61293.330;;;;;;;;;;;0.000
2023-09-01 02:00:00;0.000;0.000;57443.930;0.000;57443.930;;;;;;;;;;;0.000
2023-09-01 02:05:00;0.000;0.000;53161.968;0.000;53161.968;;;;;;;;;;;0.000
2023-09-01 02:10:00;0.000;0.000;56424.394;0.000;56424.394;;;;;;;;;;;0.000
2023-09-01 02:15:00;0.000;0.000;53311.312;0.000;53311.312;;;;;;;;;;;0.000
2023-09-01 02:20:00;0.000;0.000;57714.980;0.000;57714.980;;;;;;;;;;;0.000
2023-09-01 02:25:00;0.000;0.000;53256.914;0.000;53256.914;;;;;;;;;;;0.000
2023-09-01 02:30:00;0.000;0.000;56002.640;0.000;56002.640;;;;;;;;;;;0.000
2023-09-01 02:35:00;0.000;0.000;53470.552;0.000;53470.552;;;;;;;;;;;0.000
2023-09-01 02:40:00;0.000;0.000;56956.610;0.000;56956.610;;;;;;;;;;;0.000
2023-09-01 02:45:00;0.000;0.000;53499.254;0.000;53499.254;;;;;;;;;;;0.000
2023-09-01 02:50:00;0.000;0.000;57653.174;0.000;57653.174;;;;;;;;;;;0.000
2023-09-01 02:55:00;0.000;0.000;54998.158;0.000;54998.158;;;;;;;;;;;0.000
2023-09-01 03:00:00;0.000;0.000;57422.772;0.000;57422.772;;;;;;;;;;;0.000
2023-09-01 03:05:00;0.000;0.000;54279.252;0.000;54279.252;;;;;;;;;;;0.000
